seq_id,ko,gene,source,organism_code_or_name,species,taxid,domain,phylum,class,order,family,genus,length,description,system,classification_basis
bfgm|1|K01252|entB|P0ADI4,K01252,entB,uniprot,Escherichia coli (strain K12),Escherichia coli (strain K12),83333.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,285,Enterobactin synthase component B (EC 6.3.2.14) (Enterobactin biosynthesis bifunctional protein EntB) (Enterochelin synthase B) [Includes: I,enterobactin biosynthesis,gene_symbol_match
bfgm|12|K02217|ftnA|E1WS50,K02217,ftnA,uniprot,Bacteroides fragilis (strain 638R),Bacteroides fragilis (strain 638R),862962.0,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,159,Bacterial non-heme ferritin (EC 1.16.3.2),ferritin-family iron storage,gene_symbol_match
bfgm|13|K02217|ftnA|P52093,K02217,ftnA,uniprot,Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori),Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori),85962.0,Bacteria,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,167,Bacterial non-heme ferritin (EC 1.16.3.2),ferritin-family iron storage,gene_symbol_match
bfgm|14|K02217|ftnA|Q2FWZ8,K02217,ftnA,uniprot,Staphylococcus aureus (strain NCTC 8325 / PS 47),Staphylococcus aureus (strain NCTC 8325 / PS 47),93061.0,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,166,Bacterial non-heme ferritin (EC 1.16.3.2),ferritin-family iron storage,gene_symbol_match
bfgm|15|K02217|ftnA|P43707,K02217,ftnA,uniprot,Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),71421.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,162,Probable bacterial non-heme ferritin (EC 1.16.3.2),ferritin-family iron storage,gene_symbol_match
bfgm|16|K02217|ftnA|Q49YT7,K02217,ftnA,uniprot,Staphylococcus saprophyticus subsp. saprophyticus (strain ATCC 15305 / DSM 20229 / NCIMB 8711 / NCTC 7292 / S-41),Staphylococcus saprophyticus subsp. saprophyticus (strain ATCC 15305 / DSM 20229 / NCIMB 8711 / NCTC 7292 / S-41),342451.0,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,167,Bacterial non-heme ferritin (EC 1.16.3.2),ferritin-family iron storage,gene_symbol_match
bfgm|17|K02217|ftnA|Q6GFG4,K02217,ftnA,uniprot,Staphylococcus aureus (strain MRSA252),Staphylococcus aureus (strain MRSA252),282458.0,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,166,Bacterial non-heme ferritin (EC 1.16.3.2),ferritin-family iron storage,gene_symbol_match
bfgm|18|K02217|ftnA|Q4L7K6,K02217,ftnA,uniprot,Staphylococcus haemolyticus (strain JCSC1435),Staphylococcus haemolyticus (strain JCSC1435),279808.0,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,166,Bacterial non-heme ferritin (EC 1.16.3.2),ferritin-family iron storage,gene_symbol_match
bfgm|19|K02217|ftnA|Q5HN41,K02217,ftnA,uniprot,Staphylococcus epidermidis (strain ATCC 35984 / DSM 28319 / BCRC 17069 / CCUG 31568 / BM 3577 / RP62A),Staphylococcus epidermidis (strain ATCC 35984 / DSM 28319 / BCRC 17069 / CCUG 31568 / BM 3577 / RP62A),176279.0,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,166,Bacterial non-heme ferritin (EC 1.16.3.2),ferritin-family iron storage,gene_symbol_match
bfgm|20|K02217|ftnA|Q8CNP5,K02217,ftnA,uniprot,Staphylococcus epidermidis (strain ATCC 12228 / FDA PCI 1200),Staphylococcus epidermidis (strain ATCC 12228 / FDA PCI 1200),176280.0,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,166,Bacterial non-heme ferritin (EC 1.16.3.2),ferritin-family iron storage,gene_symbol_match
bfgm|21|K02217|ftnA|Q9ZLI1,K02217,ftnA,uniprot,Helicobacter pylori (strain J99 / ATCC 700824) (Campylobacter pylori J99),Helicobacter pylori (strain J99 / ATCC 700824) (Campylobacter pylori J99),85963.0,Bacteria,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,167,Bacterial non-heme ferritin (EC 1.16.3.2),ferritin-family iron storage,gene_symbol_match
bfgm|22|K02361|entC|P0AEJ2,K02361,entC,uniprot,Escherichia coli (strain K12),Escherichia coli (strain K12),83333.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,391,Isochorismate synthase EntC (EC 5.4.4.2) (Isochorismate mutase),enterobactin biosynthesis,gene_symbol_match
bfgm|23|K02361|menF|P9WFW9,K02361,menF,uniprot,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332.0,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,372,Putative isochorismate synthase MenF (EC 5.4.4.2) (Isochorismate mutase),enterobactin biosynthesis,gene_symbol_match
bfgm|24|K02363|entE|P10378,K02363,entE,uniprot,Escherichia coli (strain K12),Escherichia coli (strain K12),83333.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,536,"Enterobactin synthase component E (EC 6.3.2.14) (2,3-dihydroxybenzoate-AMP ligase) (DHB-AMP ligase) (2,3-dihydroxybenzoate-AMP synthase) (EC",enterobactin biosynthesis,gene_symbol_match
bfgm|25|K02363|entE|Q8XBV3,K02363,entE,uniprot,Escherichia coli O157:H7,Escherichia coli O157:H7,83334.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,536,"Enterobactin synthase component E (EC 6.3.2.14) (2,3-dihydroxybenzoate-AMP liase) (DHB-AMP ligase) (2,3-dihydroxybenzoate-AMP synthase) (EC ",enterobactin biosynthesis,gene_symbol_match
bfgm|26|K02471|bacA|P9WQI9,K02471,bacA,uniprot,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332.0,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,639,Hydrophilic compounds import ATP-binding/permease protein BacA (EC 7.6.2.-) (Hydrophilic compounds ABC transporter BacA),bacillibactin biosynthesis (bacACEBF),gene_symbol_match
bfgm|27|K03559|exbD|eco_b3005,K03559,exbD,kegg,eco,Escherichia coli K-12 MG1655,511145.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,141,(RefSeq) exbD; Ton complex subunit ExbD (A),"unclassified (KEGG gap-fill, KO not linked to an audited on-term seed gene)",unclassified_ko_gapfill
bfgm|28|K03561|exbB|eco_b3006,K03561,exbB,kegg,eco,Escherichia coli K-12 MG1655,511145.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,244,(RefSeq) exbB; Ton complex subunit ExbB (A),"unclassified (KEGG gap-fill, KO not linked to an audited on-term seed gene)",unclassified_ko_gapfill
bfgm|29|K03594|bfr|P0ABD3,K03594,bfr,uniprot,Escherichia coli (strain K12),Escherichia coli (strain K12),83333.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,158,Bacterioferritin (BFR) (EC 1.16.3.1) (Cytochrome b-1) (Cytochrome b-557),ferritin-family iron storage,gene_symbol_match
bfgm|30|K03594|bfr|O68926,K03594,bfr,uniprot,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),99287.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,158,Bacterioferritin (BFR) (EC 1.16.3.1) (Cytochrome b-1) (Cytochrome b-557),ferritin-family iron storage,gene_symbol_match
bfgm|31|K03594|bfr|P9WPQ9,K03594,bfr,uniprot,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332.0,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,159,Bacterioferritin BfrA (Bfr) (EC 1.16.3.1),ferritin-family iron storage,gene_symbol_match
bfgm|32|K03594|bfr|P43315,K03594,bfr,uniprot,Mycobacterium leprae (strain TN),Mycobacterium leprae (strain TN),272631.0,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,159,Bacterioferritin (BFR) (EC 1.16.3.1) (Major membrane protein II) (MMP-II),ferritin-family iron storage,gene_symbol_match
bfgm|33|K03594|bfr|P45430,K03594,bfr,uniprot,Mycolicibacterium paratuberculosis (strain ATCC BAA-968 / K-10) (Mycobacterium paratuberculosis),Mycolicibacterium paratuberculosis (strain ATCC BAA-968 / K-10) (Mycobacterium paratuberculosis),262316.0,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,159,Bacterioferritin (BFR) (EC 1.16.3.1) (Antigen D),ferritin-family iron storage,gene_symbol_match
bfgm|34|K03594|bfr|P49944,K03594,bfr,uniprot,Brucella melitensis biotype 1 (strain ATCC 23456 / CCUG 17765 / NCTC 10094 / 16M),Brucella melitensis biotype 1 (strain ATCC 23456 / CCUG 17765 / NCTC 10094 / 16M),224914.0,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,Brucella,161,Bacterioferritin (BFR) (EC 1.16.3.1),ferritin-family iron storage,gene_symbol_match
bfgm|35|K03594|bfr|Q93PP9,K03594,bfr,uniprot,Desulfovibrio desulfuricans (strain ATCC 27774 / DSM 6949 / MB),Desulfovibrio desulfuricans (strain ATCC 27774 / DSM 6949 / MB),525146.0,Bacteria,Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,179,Bacterioferritin (BFR) (EC 1.16.3.1),ferritin-family iron storage,gene_symbol_match
bfgm|36|K03594|bfr|Q8FW95,K03594,bfr,uniprot,Brucella suis biovar 1 (strain 1330),Brucella suis biovar 1 (strain 1330),204722.0,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,Brucella,161,Bacterioferritin (BFR) (EC 1.16.3.1),ferritin-family iron storage,gene_symbol_match
bfgm|37|K03594|bfr|Q9S2N0,K03594,bfr,uniprot,Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145),Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145),100226.0,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,167,Bacterioferritin (BFR) (EC 1.16.3.1),ferritin-family iron storage,gene_symbol_match
bfgm|38|K03594|ftnA|Q9HWF9,K03594,ftnA,uniprot,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),208964.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,154,Bacterial ferritin (FtnA) (EC 1.16.3.1) (Bacterial non-heme ferritin) (Bacterioferritin alpha subunit) (BFR alpha subunit) (Nonheme-iron-con,ferritin-family iron storage,gene_symbol_match
bfgm|39|K03711|fur|P0A9A9,K03711,fur,uniprot,Escherichia coli (strain K12),Escherichia coli (strain K12),83333.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,148,Ferric uptake regulation protein (Ferric uptake regulator),Fur regulon,gene_symbol_match
bfgm|40|K03711|fur|P0A0S8,K03711,fur,uniprot,Neisseria meningitidis serogroup B (strain ATCC BAA-335 / MC58),Neisseria meningitidis serogroup B (strain ATCC BAA-335 / MC58),122586.0,Bacteria,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,144,Ferric uptake regulation protein (Ferric uptake regulator),Fur regulon,gene_symbol_match
bfgm|41|K03711|fur|A5F6G4,K03711,fur,uniprot,Vibrio cholerae serotype O1 (strain ATCC 39541 / Classical Ogawa 395 / O395),Vibrio cholerae serotype O1 (strain ATCC 39541 / Classical Ogawa 395 / O395),345073.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,150,Ferric uptake regulation protein (Ferric uptake regulator),Fur regulon,gene_symbol_match
bfgm|42|K03711|fur|O30330,K03711,fur,uniprot,Cupriavidus metallidurans (strain ATCC 43123 / DSM 2839 / NBRC 102507 / CH34) (Ralstonia metallidurans),Cupriavidus metallidurans (strain ATCC 43123 / DSM 2839 / NBRC 102507 / CH34) (Ralstonia metallidurans),266264.0,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,143,Ferric uptake regulation protein (Ferric uptake regulator),Fur regulon,gene_symbol_match
bfgm|43|K03711|fur|P0C631,K03711,fur,uniprot,Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168),Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168),192222.0,Bacteria,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,157,Ferric uptake regulation protein (Ferric uptake regulator),Fur regulon,gene_symbol_match
bfgm|44|K03711|fur|O24755,K03711,fur,uniprot,Vibrio parahaemolyticus serotype O3:K6 (strain RIMD 2210633),Vibrio parahaemolyticus serotype O3:K6 (strain RIMD 2210633),223926.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,149,Ferric uptake regulation protein (Ferric uptake regulator),Fur regulon,gene_symbol_match
bfgm|45|K03711|fur|O25671,K03711,fur,uniprot,Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori),Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori),85962.0,Bacteria,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,150,Ferric uptake regulation protein (Ferric uptake regulator),Fur regulon,gene_symbol_match
bfgm|46|K03711|fur|P0A3E4,K03711,fur,uniprot,Bordetella bronchiseptica (strain ATCC BAA-588 / NCTC 13252 / RB50) (Alcaligenes bronchisepticus),Bordetella bronchiseptica (strain ATCC BAA-588 / NCTC 13252 / RB50) (Alcaligenes bronchisepticus),257310.0,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella,139,Ferric uptake regulation protein (Ferric uptake regulator),Fur regulon,gene_symbol_match
bfgm|47|K03711|fur|P0C106,K03711,fur,uniprot,Brucella abortus biovar 1 (strain 9-941),Brucella abortus biovar 1 (strain 9-941),262698.0,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,Brucella,141,Ferric uptake regulation protein (Ferric uptake regulator),Fur regulon,gene_symbol_match
bfgm|48|K03711|fur|Q03456,K03711,fur,uniprot,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),208964.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,134,Ferric uptake regulation protein (Ferric uptake regulator),Fur regulon,gene_symbol_match
bfgm|49|K03711|fur|P54574,K03711,fur,uniprot,Bacillus subtilis (strain 168),Bacillus subtilis (strain 168),224308.0,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,149,Ferric uptake regulation protein (Ferric uptake regulator),Fur regulon,gene_symbol_match
bfgm|50|K03711|fur|P33086,K03711,fur,uniprot,Yersinia pestis,Yersinia pestis,632.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,148,Ferric uptake regulation protein (Ferric uptake regulator),Fur regulon,gene_symbol_match
bfgm|51|K03711|fur|P33117,K03711,fur,uniprot,Vibrio vulnificus (strain CMCP6),Vibrio vulnificus (strain CMCP6),216895.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,149,Ferric uptake regulation protein (Ferric uptake regulator),Fur regulon,gene_symbol_match
bfgm|52|K03711|fur|P37736,K03711,fur,uniprot,Vibrio anguillarum (strain ATCC 68554 / 775) (Listonella anguillarum),Vibrio anguillarum (strain ATCC 68554 / 775) (Listonella anguillarum),882102.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,149,Ferric uptake regulation protein (Ferric uptake regulator),Fur regulon,gene_symbol_match
bfgm|53|K03711|fur|P0C6C8,K03711,fur,uniprot,Vibrio cholerae serotype O1 (strain ATCC 39315 / El Tor Inaba N16961),Vibrio cholerae serotype O1 (strain ATCC 39315 / El Tor Inaba N16961),243277.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,150,Ferric uptake regulation protein (Ferric uptake regulator),Fur regulon,gene_symbol_match
bfgm|54|K03711|fur|P74739,K03711,fur,uniprot,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),1111708.0,Bacteria,Cyanobacteriota,Cyanophyceae,Synechococcales,Merismopediaceae,Synechocystis,165,Ferric uptake regulation protein (Ferric uptake regulator),Fur regulon,gene_symbol_match
bfgm|55|K03711|fur|P44561,K03711,fur,uniprot,Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),71421.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,146,Ferric uptake regulation protein (Ferric uptake regulator),Fur regulon,gene_symbol_match
bfgm|56|K03711|fur|P71333,K03711,fur,uniprot,Haemophilus ducreyi (strain 35000HP / ATCC 700724),Haemophilus ducreyi (strain 35000HP / ATCC 700724),233412.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,149,Ferric uptake regulation protein (Ferric uptake regulator),Fur regulon,gene_symbol_match
bfgm|57|K03711|fur|Q8YIR8,K03711,fur,uniprot,Brucella melitensis biotype 1 (strain ATCC 23456 / CCUG 17765 / NCTC 10094 / 16M),Brucella melitensis biotype 1 (strain ATCC 23456 / CCUG 17765 / NCTC 10094 / 16M),224914.0,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,Brucella,141,Ferric uptake regulation protein (Ferric uptake regulator),Fur regulon,gene_symbol_match
bfgm|58|K03711|fur|Q55244,K03711,fur,uniprot,Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2),Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2),1140.0,Bacteria,Cyanobacteriota,Cyanophyceae,Synechococcales,Synechococcaceae,Synechococcus,147,Ferric uptake regulation protein (Ferric uptake regulator),Fur regulon,gene_symbol_match
bfgm|59|K03711|fur|Q8FZ45,K03711,fur,uniprot,Brucella suis biovar 1 (strain 1330),Brucella suis biovar 1 (strain 1330),204722.0,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,Brucella,141,Ferric uptake regulation protein (Ferric uptake regulator),Fur regulon,gene_symbol_match
bfgm|60|K03711|fur|Q83S79,K03711,fur,uniprot,Shigella flexneri,Shigella flexneri,623.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,148,Ferric uptake regulation protein (Ferric uptake regulator),Fur regulon,gene_symbol_match
bfgm|61|K03711|fur|Q9ZM26,K03711,fur,uniprot,Helicobacter pylori (strain J99 / ATCC 700824) (Campylobacter pylori J99),Helicobacter pylori (strain J99 / ATCC 700824) (Campylobacter pylori J99),85963.0,Bacteria,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,150,Ferric uptake regulation protein (Ferric uptake regulator),Fur regulon,gene_symbol_match
bfgm|62|K03832|tonB|eco_b1252,K03832,tonB,kegg,eco,Escherichia coli K-12 MG1655,511145.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,239,(RefSeq) tonB; Ton complex subunit TonB (A),"unclassified (KEGG gap-fill, KO not linked to an audited on-term seed gene)",unclassified_ko_gapfill
bfgm|63|K03894|iucA|Q47316,K03894,iucA,uniprot,Escherichia coli,Escherichia coli,562.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,575,N(2)-citryl-N(6)-acetyl-N(6)-hydroxylysine synthase (EC 6.3.2.38) (Aerobactin synthase IucA),aerobactin biosynthesis,gene_symbol_match
bfgm|64|K04047|dps|P43313,K04047,dps,uniprot,Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori),Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori),85962.0,Bacteria,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,144,DNA protection during starvation protein (EC 1.16.-.-) (Bacterioferritin) (HP-NAP) (Neutrophil-activating protein A) (NAP A),ferritin-family iron storage,gene_symbol_match
bfgm|65|K04047|dps|P80725,K04047,dps,uniprot,Listeria innocua serovar 6a (strain ATCC BAA-680 / CLIP 11262),Listeria innocua serovar 6a (strain ATCC BAA-680 / CLIP 11262),272626.0,Bacteria,Bacillota,Bacilli,Bacillales,Listeriaceae,Listeria,156,DNA protection during starvation protein (EC 1.16.-.-) (Ferritin-like protein) (Non-heme iron-containing ferritin),ferritin-family iron storage,gene_symbol_match
bfgm|66|K04047|dps|Q8Y8G1,K04047,dps,uniprot,Listeria monocytogenes serovar 1/2a (strain ATCC BAA-679 / EGD-e),Listeria monocytogenes serovar 1/2a (strain ATCC BAA-679 / EGD-e),169963.0,Bacteria,Bacillota,Bacilli,Bacillales,Listeriaceae,Listeria,156,DNA protection during starvation protein (EC 1.16.-.-) (Ferritin-like protein) (Non-heme iron-containing ferritin),ferritin-family iron storage,gene_symbol_match
